!!<TOTAL_WINDOWS>!!|18745
ab|127
absolute|185
cd|microsoft|14
cd|print|18
cd|printer|15
cd|sale|31
cd|shipping|25
cd|thanks|41
char|48
character|281
character|colormap|5
character|font|44
character|hus|12
character|postscript|19
character|visual|9
character|window|55
character|windows|46
character|xterm|30
char|file|16
char|input|10
char|int|18
char|io|4
char|null|11
char|output|10
char|postscript|5
char|program|20
child|825
child|disease|40
child|francisco|9
child|hus|13
child|md|7
child|mouse|11
child|patient|23
child|trial|46
child|washington|58
chip|780
chip|clipper|231
chip|crypto|62
chip|escrow|103
chip|government|184
chip|serial|78
chip|session|48
chip|warrant|37
chip|wiretap|77
christ|451
christian|875
christianity|358
christianity|eternal|34
christianity|faith|99
christianity|god|215
christianity|heaven|43
christianity|hell|31
christianity|interpretation|47
christianity|islam|28
christianity|marriage|13
christianity|moral|40
christianity|morality|19
christianity|objective|13
christianity|scripture|53
christianity|sin|57
christianity|truth|81
christian|christianity|251
christian|eternal|70
christian|existence|87
christian|faith|200
christian|god|477
christian|heaven|92
christian|hell|88
christian|religion|241
christian|religious|162
christian|sin|143
christ|church|142
christ|doctrine|67
christ|faith|136
christ|holy|73
christ|jesus|273
christ|resurrection|58
christ|revelation|46
christ|scripture|79
christ|son|85
church|474
church|doctrine|81
church|faith|114
church|hockey|1
church|holy|67
church|jesus|144
church|league|2
church|player|2
church|pope|37
church|resurrection|20
church|revelation|48
church|roger|2
church|scripture|82
church|son|48
church|team|7
cipher|40
cipher|des|15
cipher|digital|7
cipher|electronic|6
cipher|encrypt|12
cipher|ftp|10
cipher|network|5
cipher|ripem|5
cipher|rsa|13
cipher|unix|6
civilian|178
civilian|israel|52
civilian|israeli|40
civilian|lebanese|27
civilian|lebanon|26
civilian|peace|30
clearly|500
clearly|congress|29
clearly|consideration|22
clearly|convince|28
clearly|decision|52
clearly|gay|22
clearly|myers|3
clearly|package|18
clearly|president|44
clearly|resolution|16
client|188
client|email|46
client|responsibility|5
client|server|99
client|site|34
client|threat|6
client|unix|44
client|user|64
clipper|371
clipper|crypto|64
clipper|escrow|114
clipper|government|181
clipper|serial|47
clipper|session|41
clipper|warrant|38
clipper|wiretap|80
coach|131
coach|cup|19
coach|defense|13
coach|detroit|16
coach|fan|29
coach|flyers|11
coach|gm|16
coach|leafs|14
coach|penalty|16
coach|playoff|32
coach|puck|8
coach|rangers|23
coach|score|25
coach|season|37
coach|slot|5
coach|stanley|12
coach|wings|13
colormap|48
colormap|converter|1
colormap|font|7
colormap|hus|3
colormap|menu|7
colormap|microsoft|5
colormap|mouse|8
colormap|postscript|6
colormap|screen|16
colormap|swap|1
colormap|visual|18
colormap|widget|9
colormap|window|31
colormap|windows|11
colormap|xt|7
colormap|xterm|5
commit|358
committee|166
committee|constitution|20
committee|file|30
committee|handgun|7
committee|militia|9
committee|sentence|12
commit|device|20
commit|economic|28
commit|enforcement|23
commit|government|117
commit|justice|42
compatible|218
compatible|ftp|32
compatible|graphics|16
compatible|keyboard|21
compatible|mac|38
compatible|pc|37
compatible|processing|17
compatible|shipping|17
compatible|workstation|16
configuration|183
configuration|dec|11
configuration|font|23
configuration|hp|13
configuration|interface|23
configuration|macintosh|13
configuration|motif|14
configuration|patch|15
configuration|toolkit|10
congress|239
congress|consideration|15
congress|convince|17
congress|decision|38
congress|gay|10
congress|myers|3
congress|package|19
congress|president|61
congress|resolution|9
connector|133
connector|controller|12
connector|disk|18
connector|dos|8
connector|feature|10
connector|floppy|12
connector|jumper|19
connector|rom|4
consideration|176
consideration|convince|15
consideration|decision|33
consideration|gay|8
consideration|myers|4
consideration|package|22
consideration|president|31
consideration|resolution|11
constitution|215
constitution|file|15
constitution|handgun|14
constitution|militia|24
constitution|sentence|17
controller|294
controller|disk|92
controller|dos|33
controller|feature|19
controller|floppy|57
controller|jumper|24
controller|rom|17
converter|91
converter|font|5
converter|menu|8
converter|screen|11
converter|visual|5
converter|widget|8
converter|window|14
converter|xt|3
convince|282
convince|decision|37
convince|gay|12
convince|myers|4
convince|package|8
convince|president|27
convince|resolution|7
cop|191
cop|criminal|21
cop|fire|26
cop|gang|13
cop|gun|61
cop|merely|8
cop|police|74
cop|training|15
cpu|215
cpu|ibm|27
cpu|ide|23
cpu|mac|41
cpu|macintosh|14
cpu|meg|15
cpu|mhz|40
cpu|monitor|30
cpu|motherboard|35
cpu|os|22
cpu|printer|9
cpu|quadra|18
cpu|ram|48
cpu|scsi|21
cpu|scsus|13
cpu|simm|15
cpu|vga|15
cpu|video|37
crime|419
crime|criminal|130
crime|gun|123
crime|homicide|18
crime|innocent|54
crime|moral|20
crime|morality|7
crime|murder|87
crime|objective|14
crime|sex|18
criminal|287
criminal|fire|44
criminal|gang|18
criminal|gun|87
criminal|homicide|11
criminal|innocent|35
criminal|merely|23
criminal|moral|24
criminal|morality|3
criminal|murder|65
criminal|objective|11
criminal|police|66
criminal|sex|15
criminal|training|14
crypto|145
crypto|escrow|43
crypto|government|81
crypto|serial|7
crypto|session|7
crypto|warrant|13
crypto|wiretap|30
cs|86
cs|db|3
cs|witness|3
cup|254
cup|detroit|31
cup|fan|80
cup|gm|24
cup|leafs|34
cup|rangers|42
cup|stanley|102
cup|wings|40
db|47
dec|111
decision|373
decision|gay|15
decision|myers|6
decision|package|25
decision|president|74
decision|resolution|16
dec|font|15
dec|hp|22
dec|interface|28
dec|macintosh|15
dec|motif|22
dec|patch|11
dec|toolkit|16
defend|293
defend|kill|85
defend|massacre|22
defend|people|186
defend|say|174
defend|troops|33
defend|walk|17
defend|woman|39
defense|356
defense|flyers|8
defense|leafs|8
defense|penalty|22
defense|playoff|23
defense|puck|16
defense|score|51
defense|season|45
defense|slot|12
defensive|112
defensive|hockey|19
defensive|league|31
defensive|nhl|11
defensive|player|54
defensive|roger|16
defensive|team|52
des|155
deserve|220
deserve|hit|32
deserve|hitter|2
deserve|hr|3
deserve|offense|9
deserve|pitch|8
deserve|pitcher|9
deserve|staff|5
des|digital|17
des|electronic|21
des|encrypt|33
des|ftp|18
des|network|15
des|ripem|8
des|rsa|20
des|unix|14
det|50
detector|107
detector|fuel|4
detector|insurance|5
detector|outlet|1
detector|radar|59
detector|rf|7
detector|rocket|2
detector|voltage|4
detroit|159
detroit|fan|35
detroit|gm|17
detroit|leafs|36
detroit|louis|44
detroit|philadelphia|25
detroit|pittsburgh|45
detroit|pp|7
detroit|rangers|29
detroit|stanley|23
detroit|wings|49
detroit|winnipeg|19
det|mon|24
det|nj|24
det|pit|30
det|que|33
det|tor|42
det|van|34
det|vs|10
device|496
device|economic|12
device|enforcement|44
device|government|68
device|justice|19
digital|308
digital|electronic|30
digital|encrypt|20
digital|ftp|48
digital|network|44
digital|ripem|4
digital|rsa|15
digital|unix|38
disease|224
disease|francisco|8
disease|hus|6
disease|md|20
disease|mouse|3
disease|patient|78
disease|trial|16
disease|washington|19
disk|675
disk|dos|113
disk|feature|57
disk|floppy|140
disk|jumper|18
disk|rom|30
doctrine|172
doctrine|faith|57
doctrine|holy|34
doctrine|jesus|68
doctrine|resurrection|19
doctrine|revelation|28
doctrine|scripture|42
doctrine|son|30
dog|215
dog|helmet|7
dog|honda|1
dog|rear|5
dog|ride|34
dog|rider|8
dog|saturn|1
dog|turbo|5
dos|430
dos|fax|66
dos|feature|48
dos|floppy|43
dos|graphics|24
dos|jumper|10
dos|professor|2
dos|propose|6
dos|reality|5
dos|rom|13
dos|scientific|8
dos|virtual|19
dos|vote|3
dos|windows|227
economic|188
economic|enforcement|25
economic|government|91
economic|justice|20
electronic|235
electronic|encrypt|21
electronic|ftp|39
electronic|network|44
electronic|ripem|6
electronic|rsa|7
electronic|unix|34
email|1238
email|responsibility|15
email|server|73
email|site|101
email|threat|11
email|unix|87
email|user|119
encrypt|122
encrypt|ftp|16
encrypt|network|17
encrypt|ripem|11
encrypt|rsa|20
encrypt|unix|10
enforcement|207
enforcement|government|110
enforcement|justice|30
escrow|189
escrow|government|108
escrow|serial|41
escrow|session|29
escrow|warrant|41
escrow|wiretap|63
eternal|186
eternal|evil|16
eternal|faith|43
eternal|god|136
eternal|heaven|55
eternal|hell|64
eternal|jesus|82
eternal|passage|27
eternal|people|99
eternal|prophecy|4
eternal|prophet|15
eternal|punishment|19
eternal|sin|36
eternal|verse|22
eus|7
eus|hus|5
eus|mg|6
eus|mr|6
eus|mw|5
eus|pd|3
eus|pl|4
eus|rg|3
evil|290
evil|hell|36
evil|jesus|48
evil|passage|24
evil|people|183
evil|prophecy|10
evil|prophet|20
evil|punishment|21
evil|verse|18
excellent|389
excellent|fair|21
excellent|fuel|7
excellent|km|5
excellent|manual|45
excellent|module|9
excellent|plant|4
excellent|water|14
existence|321
existence|faith|56
existence|god|156
existence|religion|75
existence|religious|49
fair|281
fair|fuel|5
fair|km|1
fair|manual|16
fair|module|7
fair|plant|6
fair|water|13
faith|449
faith|god|260
faith|heaven|61
faith|hell|37
faith|holy|41
faith|jesus|131
faith|religion|121
faith|religious|79
faith|resurrection|28
faith|revelation|36
faith|scripture|60
faith|sin|63
faith|son|51
fan|568
fan|gm|25
fan|leafs|48
fan|rangers|49
fan|stanley|47
fan|wings|47
fax|979
fax|graphics|54
fax|professor|14
fax|propose|26
fax|reality|30
fax|scientific|33
fax|virtual|33
fax|vote|8
fax|windows|102
feature|399
feature|floppy|22
feature|jumper|4
feature|rom|17
file|1318
file|handgun|5
file|input|55
file|int|19
file|io|27
file|militia|5
file|null|19
file|output|84
file|postscript|70
file|program|410
file|sentence|9
fire|635
fire|gang|17
fire|gun|131
fire|merely|21
fire|police|70
fire|training|23
floppy|287
floppy|jumper|11
floppy|mac|44
floppy|microsoft|18
floppy|port|35
floppy|ram|56
floppy|rom|13
floppy|simm|9
floppy|vga|19
floppy|windows|64
flyers|61
flyers|leafs|17
flyers|penalty|8
flyers|playoff|20
flyers|puck|6
flyers|score|13
flyers|season|29
flyers|slot|3
font|187
font|hp|37
font|hus|13
font|interface|27
font|macintosh|16
font|menu|25
font|motif|23
font|patch|24
font|postscript|27
font|screen|42
font|toolkit|20
font|visual|12
font|widget|19
font|window|67
font|windows|79
font|xt|11
font|xterm|24
francisco|128
francisco|md|8
francisco|mouse|3
francisco|patient|4
francisco|trial|8
francisco|washington|16
ftp|428
ftp|graphics|34
ftp|japanese|8
ftp|keyboard|19
ftp|launch|21
ftp|mac|53
ftp|macintosh|38
ftp|map|35
ftp|network|61
ftp|pc|65
ftp|probe|12
ftp|processing|33
ftp|remote|30
ftp|ripem|7
ftp|rsa|16
ftp|satellite|23
ftp|saturn|5
ftp|shipping|11
ftp|unix|77
ftp|workstation|37
fuel|173
fuel|insurance|4
fuel|km|6
fuel|manual|9
fuel|module|9
fuel|outlet|4
fuel|plant|14
fuel|radar|5
fuel|rocket|17
fuel|voltage|1
fuel|water|24
gang|83
gang|gun|32
gang|merely|5
gang|police|22
gang|training|8
gateway|152
gateway|meg|14
gateway|modem|11
gateway|motherboard|13
gateway|port|10
gateway|simm|6
gateway|vga|6
gateway|video|21
gay|180
gay|myers|3
gay|package|7
gay|president|11
gay|resolution|7
genocide|158
genocide|massacre|60
genocide|muslim|86
genocide|turkish|94
genocide|turks|89
gif|185
gif|hardware|16
gif|jpeg|30
gif|modem|4
gif|printer|12
gif|ram|15
gif|upgrade|10
gif|windows|41
gm|129
gm|leafs|10
gm|rangers|9
gm|stanley|12
gm|wings|15
god|1351
god|heaven|166
god|hell|151
god|religion|249
god|religious|175
god|sin|213
government|1338
government|justice|105
government|serial|28
government|session|40
government|warrant|92
government|wiretap|71
graphics|195
graphics|japanese|4
graphics|keyboard|9
graphics|launch|4
graphics|mac|22
graphics|macintosh|18
graphics|map|19
graphics|pc|41
graphics|probe|7
graphics|processing|24
graphics|professor|4
graphics|propose|6
graphics|reality|10
graphics|remote|13
graphics|satellite|8
graphics|scientific|9
graphics|shipping|14
graphics|virtual|19
graphics|vote|2
graphics|windows|56
graphics|workstation|23
gun|609
gun|homicide|25
gun|innocent|48
gun|merely|29
gun|moral|22
gun|morality|7
gun|murder|86
gun|objective|15
gun|police|149
gun|sex|11
gun|training|42
handgun|121
handgun|militia|13
handgun|sentence|10
hardware|537
hardware|jpeg|17
hardware|modem|55
hardware|printer|33
hardware|ram|47
hardware|upgrade|42
hardware|windows|84
hd|196
hd|ide|36
hd|isa|11
hd|mb|37
hd|meg|38
hd|mhz|15
hd|pc|35
hd|scsi|33
hd|scsus|15
hd|spec|6
heaven|260
heaven|hell|70
heaven|sin|63
hell|588
hello|405
hello|honda|3
hello|hus|4
hello|monitor|18
hello|motherboard|5
hello|sale|15
hello|shipping|6
hello|thanks|163
hell|jesus|83
hell|passage|20
hell|people|265
hell|prophecy|6
hell|prophet|16
hell|punishment|42
hell|sin|43
hell|verse|18
helmet|100
helmet|honda|9
helmet|inch|2
helmet|mouse|2
helmet|rear|3
helmet|ride|40
helmet|rider|15
helmet|turbo|1
hit|686
hitler|112
hitler|mass|12
hitler|nuclear|5
hitler|physical|3
hitler|ship|4
hitler|theory|13
hitler|universe|4
hitler|war|43
hitter|117
hitter|hr|19
hitter|offense|10
hitter|pitch|44
hitter|pitcher|39
hitter|staff|15
hit|hitter|76
hit|hr|39
hit|offense|30
hit|pitch|82
hit|pitcher|67
hit|staff|35
hockey|357
hockey|league|91
hockey|nhl|94
hockey|player|139
hockey|roger|45
hockey|team|200
holy|202
holy|jesus|90
holy|resurrection|14
holy|revelation|20
holy|scripture|36
holy|son|41
homicide|30
homicide|innocent|2
homicide|moral|1
homicide|murder|12
homicide|objective|1
homicide|sex|2
homosexual|199
homosexual|jewish|8
homosexual|marry|15
homosexual|sexual|77
homosexual|witness|15
honda|159
honda|hus|8
honda|rear|16
honda|ride|36
honda|rider|15
honda|sale|16
honda|saturn|10
honda|shipping|3
honda|thanks|27
honda|turbo|5
hp|241
hp|interface|32
hp|macintosh|19
hp|motif|27
hp|patch|16
hp|toolkit|21
hr|100
hr|offense|7
hr|pitch|13
hr|pitcher|11
hr|staff|7
hus|679
hus|mb|19
hus|md|9
hus|mg|7
hus|mi|10
hus|monitor|31
hus|motherboard|18
hus|mouse|9
hus|mr|8
hus|mw|7
hus|patient|7
hus|pd|20
hus|pl|10
hus|postscript|8
hus|rg|3
hus|sale|24
hus|shipping|7
hus|sl|7
hus|thanks|315
hus|trial|2
hus|visual|2
hus|washington|8
hus|window|72
hus|windows|63
hus|wm|7
hus|xterm|10
ibm|362
ibm|mac|48
ibm|macintosh|28
ibm|monitor|49
ibm|os|20
ibm|printer|42
ibm|ram|23
ibm|vga|19
ibm|video|38
ide|184
ide|isa|37
ide|mb|40
ide|meg|35
ide|mhz|21
ide|motherboard|27
ide|pc|51
ide|quadra|7
ide|scsi|70
ide|scsus|55
ide|simm|10
ide|spec|20
inch|166
inch|mouse|18
inch|ride|13
inch|screen|25
inch|voltage|3
innocent|234
innocent|moral|30
innocent|morality|5
innocent|murder|77
innocent|objective|22
innocent|sex|3
input|309
input|int|11
input|io|16
input|null|12
input|output|103
input|postscript|24
input|program|57
installation|141
installation|mass|8
installation|nuclear|1
installation|physical|8
installation|ship|15
installation|theory|3
installation|universe|2
installation|war|12
insurance|208
insurance|outlet|2
insurance|radar|10
insurance|rocket|3
insurance|voltage|1
int|88
interface|295
interface|macintosh|27
interface|motif|28
interface|patch|19
interface|toolkit|32
interpretation|217
interpretation|islam|8
interpretation|marriage|12
interpretation|moral|24
interpretation|morality|12
interpretation|objective|10
interpretation|scripture|43
interpretation|truth|50
int|io|7
int|null|18
int|output|14
int|postscript|6
int|program|34
io|131
io|null|4
io|output|18
io|postscript|9
io|program|39
isa|150
isa|mb|37
isa|meg|18
isa|mhz|30
isa|pc|47
isa|scsi|33
isa|scsus|23
isa|spec|14
islam|154
islamic|137
islamic|jew|18
islamic|jewish|26
islamic|jews|32
islamic|marriage|3
islamic|muslims|45
islamic|nazi|11
islamic|rights|28
islamic|turkey|6
islam|islamic|54
islam|jew|17
islam|jewish|24
islam|jews|25
islam|marriage|3
islam|moral|13
islam|morality|4
islam|muslims|64
islam|nazi|5
islam|objective|3
islam|rights|15
islam|scripture|1
islam|truth|15
islam|turkey|13
israel|382
israeli|249
israeli|lebanese|34
israeli|lebanon|46
israeli|peace|69
israel|israeli|168
israel|lebanese|44
israel|lebanon|57
israel|peace|88
item|298
item|manual|38
item|microsoft|13
item|print|32
item|printer|23
item|sale|62
item|shipping|32
item|thanks|48
japanese|118
japanese|launch|10
japanese|macintosh|3
japanese|map|4
japanese|probe|10
japanese|remote|7
japanese|satellite|10
japanese|saturn|7
jesus|571
jesus|passage|75
jesus|people|318
jesus|prophecy|32
jesus|prophet|58
jesus|punishment|37
jesus|resurrection|59
jesus|revelation|46
jesus|scripture|93
jesus|son|96
jesus|verse|73
jew|198
jewish|387
jewish|jews|173
jewish|marriage|15
jewish|marry|19
jewish|muslims|35
jewish|nazi|38
jewish|rights|49
jewish|sexual|20
jewish|turkey|19
jewish|witness|21
jews|382
jews|marriage|22
jews|muslims|47
jews|nazi|55
jews|rights|60
jews|turkey|17
jew|jewish|106
jew|jews|115
jew|marriage|11
jew|muslims|30
jew|nazi|19
jew|rights|22
jew|turkey|15
jpeg|59
jpeg|modem|2
jpeg|printer|7
jpeg|ram|9
jpeg|upgrade|7
jpeg|windows|15
jumper|104
jumper|rom|3
justice|246
keyboard|210
keyboard|mac|20
keyboard|pc|41
keyboard|processing|10
keyboard|shipping|17
keyboard|workstation|10
kill|988
kill|massacre|84
kill|people|584
kill|say|508
kill|troops|86
kill|walk|61
kill|woman|139
km|60
km|manual|1
km|module|3
km|water|3
launch|254
launch|macintosh|6
launch|map|13
launch|probe|26
launch|remote|14
launch|satellite|47
launch|saturn|19
leafs|117
leafs|penalty|14
leafs|playoff|50
leafs|puck|3
leafs|rangers|19
leafs|score|23
leafs|season|33
leafs|slot|4
leafs|stanley|20
leafs|wings|53
league|396
league|nhl|66
league|player|156
league|roger|33
league|team|180
lebanese|54
lebanese|lebanon|43
lebanese|peace|22
lebanon|80
